CITY,HOSPITAL_COUNT,PROVINCE,POPULATION_2024_2025,AREA_SQ_KM,Hospitals per sqkm,Pop. Per sq km,Hospitals per person,Person served per hospital,DATA_SOURCE
Lahore,2315,Punjab,14825828,1772,1.306433409,8366.72009,0.000156146,6404.245356,UN estimates 2025; Wikipedia
Karachi,1408,Sindh,18076794,3780,0.372486772,4782.220635,7.78899E-05,12838.6321,UN estimates 2025; Urban area est
Islamabad,803,Islamabad (Capital Territory),1301128,906,0.886313466,1436.12362,0.000617157,1620.333748,UN estimates 2025; ICT official
Rawalpindi,532,Punjab,2486558,259,2.054054054,9600.610039,0.00021395,4673.981203,UN estimates 2025; Municipal est
Multan,402,Punjab,2258379,352,1.142045455,6415.849432,0.000178004,5617.858209,UN estimates 2025; Municipal est
Faisalabad,349,Punjab,3892830,1280,0.27265625,3041.273438,8.9652E-05,11154.24069,UN estimates 2025; Municipal est
Peshawar,227,KPK,2548929,1257,0.180588703,2027.787589,8.9057E-05,11228.76211,UN estimates 2025; Provincial est
Bahawalpur,224,Punjab,970074,408,0.549019608,2377.632353,0.00023091,4330.6875,UN estimates 2025; Municipal est
Hyderabad,203,Sindh,2058729,1022,0.198630137,2014.411937,9.86045E-05,10141.52217,UN estimates 2025; Municipal est
Gujranwala,167,Punjab,2543542,203,0.822660099,12529.76355,6.56565E-05,15230.79042,UN estimates 2025; Municipal est
Quetta,146,Balochistan,1253108,2653,0.055032039,472.3362231,0.00011651,8582.931507,UN estimates 2025; Metropolitan area
Sialkot,130,Punjab,789386,336,0.386904762,2349.363095,0.000164685,6072.2,UN estimates 2025; Municipal est
Rahim-Yar-Khan,126,Punjab,530892,8,15.75,66361.5,0.000237336,4213.428571,UN estimates 2025; City limits
Sargodha,123,Punjab,775091,3,41,258363.6667,0.000158691,6301.552846,UN estimates 2025; City core
Abbottabad,113,KPK,180000,1969,0.057389538,91.41696293,0.000627778,1592.920354,Census estimates; District area
Gujrat,76,Punjab,469248,3192,0.023809524,147.0075188,0.000161961,6174.315789,UN estimates 2025; District area
Sahiwal,71,Punjab,495075,3201,0.022180569,154.6626054,0.000143413,6972.887324,UN estimates 2025; District area
Okara,54,Punjab,447596,4377,0.012337217,102.2609093,0.000120645,8288.814815,UN estimates 2025; District area
Dera-Ghazi-Khan,48,Punjab,526088,11922,0.00402617,44.12749539,9.12395E-05,10960.16667,UN estimates 2025; District area
Mardan,48,KPK,422758,1632,0.029411765,259.0428922,0.00011354,8807.458333,UN estimates 2025; District area
Sheikhupura,39,Punjab,587443,5960,0.006543624,98.56426174,6.63894E-05,15062.64103,UN estimates 2025; District area
Swat,39,KPK,350000,5337,0.007307476,65.57991381,0.000111429,8974.358974,District estimates; District area
Wah-Cantt,37,Punjab,485860,100,0.37,4858.6,7.61536E-05,13131.35135,UN estimates 2025; Cantonment area
Attock,32,Punjab,110000,6857,0.004666764,16.04200088,0.000290909,3437.5,Census estimates; District area
Muzaffar-Garh,31,Punjab,180000,8435,0.003675163,21.33965619,0.000172222,5806.451613,Census estimates; District area
Jhelum,30,Punjab,190000,3587,0.008363535,52.96905492,0.000157895,6333.333333,Census estimates; District area
Mandi-Bahauddin,30,Punjab,160000,2673,0.011223345,59.85783764,0.0001875,5333.333333,Census estimates; District area
Larkana,28,Sindh,609434,1868,0.014989293,326.2494647,4.59443E-05,21765.5,UN estimates 2025; District area
Toba-Tek-Singh,27,Punjab,280000,3252,0.008302583,86.10086101,9.64286E-05,10370.37037,Census estimates; District area
Kasur,26,Punjab,423971,3995,0.006508135,106.1254068,6.13249E-05,16306.57692,UN estimates 2025; District area
Haripur,25,KPK,140000,1725,0.014492754,81.15942029,0.000178571,5600,Census estimates; District area
Chakwal,23,Punjab,110000,6609,0.003480103,16.64397034,0.000209091,4782.608696,Census estimates; District area
Charsadda,23,KPK,130000,996,0.023092369,130.5220884,0.000176923,5652.173913,Census estimates; District area
Jhang,23,Punjab,483182,8809,0.002610966,54.85094789,4.76011E-05,21007.91304,UN estimates 2025; District area
Layyah,23,Punjab,230000,6291,0.003656017,36.56016532,0.0001,10000,Census estimates; District area
Nawabshah,23,Sindh,250000,4618,0.004980511,54.13598961,0.000092,10869.56522,Census estimates; District area
Swabi,23,KPK,170000,1543,0.014906027,110.1749838,0.000135294,7391.304348,Census estimates; District area
Hafizabad,22,Punjab,250000,2367,0.009294466,105.6189269,0.000088,11363.63636,Census estimates; District area
Mansehra,22,KPK,160000,4579,0.004804542,34.9421271,0.0001375,7272.727273,Census estimates; District area
Kohat,19,KPK,220000,2973,0.006390851,73.99932728,8.63636E-05,11578.94737,Census estimates; District area
Nowshera,19,KPK,180000,1748,0.010869565,102.9748284,0.000105556,9473.684211,Census estimates; District area
Gojra,17,Punjab,160000,25,0.68,6400,0.00010625,9411.764706,Census estimates; Tehsil area
Kharian,17,Punjab,130000,32,0.53125,4062.5,0.000130769,7647.058824,Census estimates; Tehsil area
Burewala,16,Punjab,200000,40,0.4,5000,0.00008,12500,Census estimates; Tehsil area
Bhakkar,15,Punjab,90000,8153,0.001839814,11.03888139,0.000166667,6000,Census estimates; District area
Mirpur,15,Azad Kashmir,140000,1010,0.014851485,138.6138614,0.000107143,9333.333333,AJK estimates; District area
Narowal,15,Punjab,160000,2337,0.006418485,68.46384253,0.00009375,10666.66667,Census estimates; District area
Sadiqabad,15,Punjab,250000,35,0.428571429,7142.857143,0.00006,16666.66667,Census estimates; Tehsil area
Khanewal,14,Punjab,180000,4723,0.002964218,38.11136989,7.77778E-05,12857.14286,Census estimates; District area
Lodhran,14,Punjab,160000,2778,0.005039597,57.59539237,0.0000875,11428.57143,Census estimates; District area
Vehari,14,Punjab,200000,4364,0.003208066,45.82951421,0.00007,14285.71429,Census estimates; District area
Bahawalnagar,13,Punjab,180000,8878,0.001464294,20.27483667,7.22222E-05,13846.15385,Census estimates; District area
Daska,13,Punjab,190000,45,0.288888889,4222.222222,6.84211E-05,14615.38462,Census estimates; Tehsil area
Mianwali,12,Punjab,200000,5840,0.002054795,34.24657534,0.00006,16666.66667,Census estimates; District area
Chiniot,11,Punjab,220000,2643,0.004161937,83.23874385,0.00005,20000,Census estimates; District area
Dera-Ismail-Khan,11,KPK,250000,9334,0.001178487,26.78380116,0.000044,22727.27273,Census estimates; District area
Khushab,10,Punjab,200000,6511,0.001535862,30.71724773,0.00005,20000,Census estimates; District area
Timergara,10,KPK,80000,30,0.333333333,2666.666667,0.000125,8000,Census estimates; Tehsil area
Wazirabad,10,Punjab,200000,50,0.2,4000,0.00005,20000,Census estimates; Tehsil area
Bannu,9,KPK,200000,4368,0.00206044,45.78754579,0.000045,22222.22222,Census estimates; District area
Chichawatni,9,Punjab,150000,25,0.36,6000,0.00006,16666.66667,Census estimates; Tehsil area
Jauharabad,9,Punjab,120000,20,0.45,6000,0.000075,13333.33333,Census estimates; Tehsil area
Pakpattan,9,Punjab,180000,2724,0.003303965,66.07929515,0.00005,20000,Census estimates; District area
Pattoki,9,Punjab,120000,30,0.3,4000,0.000075,13333.33333,Census estimates; Tehsil area
Sukkur,9,Sindh,595585,5165,0.001742498,115.3117135,1.51112E-05,66176.11111,UN estimates 2025; District area
